# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu May 13 21:36:08 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 9.69897 0.6003244519 2.3213412762    0.600 -0.712  3.7202  4.762    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.703e-01 2.296e-01 2.728e-05 7.363e-06 6.681e-05 -1.000 1.522e-04 6.551 7.423 7.466 6.772 6.311 5.881 5.354 4.950 4.861
0.00015547 -2.00000 9.69897 0.6266980767 2.3383338451    0.627 -0.618  3.7331  4.737    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.740e-01 2.259e-01 2.689e-05 7.260e-06 6.588e-05 -1.000 1.439e-04 6.314 7.042 7.152 6.508 6.074 5.666 5.172 4.788 4.708
0.00015547 -2.00000 9.69897 0.6499999762 2.3520355225    0.650 -0.535  3.7443  4.715    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.776e-01 2.222e-01 2.651e-05 7.159e-06 6.497e-05 -1.000 1.252e-04 6.108 6.727 6.887 6.284 5.873 5.484 5.015 4.648 4.577
0.00015547 -2.00000 9.69897 0.6719781160 2.3639621735    0.672 -0.458  3.7549  4.695    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.820e-01 2.179e-01 2.606e-05 7.038e-06 6.388e-05 -1.000 9.999e-05 5.915 6.440 6.641 6.076 5.687 5.317 4.872 4.518 4.456
0.00015547 -2.00000 9.69897 0.6997755766 2.3778200150    0.700 -0.361  3.7678  4.668    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.883e-01 2.116e-01 2.541e-05 6.863e-06 6.231e-05 -1.000 1.312e-04 5.673 6.101 6.342 5.823 5.461 5.112 4.694 4.356 4.306
0.00015547 -2.00000 9.69897 0.6999999881 2.3779268265    0.700 -0.361  3.7679  4.667    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.884e-01 2.115e-01 2.540e-05 6.862e-06 6.230e-05 -1.000 1.320e-04 5.672 6.099 6.340 5.821 5.459 5.110 4.692 4.354 4.304
0.00015547 -2.00000 9.69897 0.7103267908 2.3827548027    0.710 -0.325  3.7725  4.657    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-14      0.00 7.917e-01 2.082e-01 2.499e-05 6.769e-06 6.148e-05 -1.000 1.556e-04 5.583 5.981 6.233 5.730 5.376 5.035 4.626 4.294 4.247
0.00015547 -2.00000 9.69897 0.7300235033 2.3915290833    0.730 -0.258  3.7810  4.635    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.987e-01 2.011e-01 2.414e-05 6.573e-06 5.976e-05 -1.000 1.276e-04 5.415 5.763 6.033 5.558 5.219 4.891 4.500 4.178 4.139
0.00015547 -2.00000 9.69897 0.7484642863 2.3992645741    0.748 -0.195  3.7887  4.614    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.56e-14      0.00 8.062e-01 1.937e-01 2.327e-05 6.367e-06 5.794e-05 -1.000 1.019e-04 5.258 5.569 5.848 5.397 5.074 4.759 4.383 4.072 4.039
0.00015547 -2.00000 9.69897 0.7500000000 2.3998889923    0.750 -0.190  3.7893  4.612    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.62e-14      0.00 8.068e-01 1.931e-01 2.319e-05 6.348e-06 5.778e-05 -1.000 1.000e-04 5.245 5.553 5.832 5.384 5.062 4.748 4.373 4.063 4.030
0.00015547 -2.00000 9.69897 0.7537108064 2.4013860226    0.754 -0.177  3.7908  4.607    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 8.076e-01 1.923e-01 2.314e-05 6.335e-06 5.767e-05 -1.000 1.016e-04 5.213 5.515 5.796 5.352 5.032 4.721 4.349 4.041 4.010
0.00015547 -2.00000 9.69897 0.7713459730 2.4082739353    0.771 -0.117  3.7975  4.585    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.56e-14      0.00 8.107e-01 1.892e-01 2.296e-05 6.290e-06 5.728e-05 -1.000 1.160e-04 5.064 5.339 5.622 5.199 4.893 4.592 4.235 3.937 3.910
0.00015547 -2.00000 9.69897 0.7879827619 2.4144480228    0.788 -0.061  3.8038  4.562    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.43e-14      0.00 8.130e-01 1.869e-01 2.288e-05 6.273e-06 5.717e-05 -1.000 1.092e-04 4.922 5.177 5.459 5.055 4.760 4.469 4.126 3.838 3.816
0.00015547 -2.00000 9.69897 0.8000000119 2.4187245369    0.800 -0.020  3.8083  4.546    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.15e-14      0.00 8.143e-01 1.856e-01 2.288e-05 6.276e-06 5.722e-05 -1.000 1.000e-04 4.819 5.061 5.341 4.949 4.663 4.380 4.046 3.766 3.747
0.00015547 -2.00000 9.69897 0.8056917787 2.4206988811    0.805 -0.000  3.8104  4.538    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -7.52e-14      0.00 8.143e-01 1.855e-01 2.290e-05 6.281e-06 5.727e-05 -1.000 1.075e-04 4.771 5.007 5.285 4.900 4.617 4.338 4.009 3.733 3.714
0.00015547 -2.00000 9.69897 0.8215807080 2.4260444641    0.821  0.054  3.8164  4.516    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.65e-14      0.00 8.144e-01 1.855e-01 2.295e-05 6.297e-06 5.742e-05 -1.000 1.280e-04 4.635 4.860 5.129 4.759 4.488 4.218 3.903 3.639 3.623
0.00015547 -2.00000 9.69897 0.8359538913 2.4306790829    0.835  0.104  3.8217  4.495    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -9.84e-14      0.00 8.144e-01 1.855e-01 2.300e-05 6.313e-06 5.758e-05 -1.000 1.411e-04 4.511 4.726 4.988 4.631 4.369 4.108 3.805 3.552 3.537
0.00015547 -2.00000 9.69897 0.8497206569 2.4349498749    0.849  0.152  3.8268  4.474    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 8.142e-01 1.856e-01 2.306e-05 6.331e-06 5.775e-05 -1.000 1.636e-04 4.390 4.598 4.850 4.506 4.252 4.000 3.710 3.467 3.454
0.00015547 -2.00000 9.69897 0.8500000238 2.4350347519    0.849  0.153  3.8269  4.474    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 8.142e-01 1.856e-01 2.306e-05 6.332e-06 5.775e-05 -1.000 1.637e-04 4.388 4.596 4.847 4.503 4.250 3.998 3.708 3.465 3.452
