epoch,lr,output_mean_absolute_error,output_mean_absolute_percentage_error,output_mean_error,val_loss,val_output_mean_absolute_error,val_output_mean_absolute_percentage_error,val_output_mean_error
0,0.0005,0.4870821535587311,414.4654846191406,-0.04940032958984375,5.444532507681288e-05,0.3321368098258972,359.6121826171875,-0.11136534065008163
1,0.0005,0.2624323070049286,308.1956481933594,-0.058410707861185074,5.674060230376199e-05,0.22143740952014923,234.818359375,-0.013828406110405922
2,0.0005,0.2077595591545105,275.59796142578125,-0.0316811129450798,5.852105823578313e-05,0.19711998105049133,208.6119842529297,-0.03622562438249588
3,0.0005,0.19101256132125854,251.84786987304688,-0.021832933649420738,6.012859375914559e-05,0.18299730122089386,210.96112060546875,-0.026410285383462906
4,0.0005,0.1804136037826538,233.55792236328125,-0.01750178448855877,6.159207987366244e-05,0.17478081583976746,187.98704528808594,-0.009093892760574818
5,0.0005,0.17459812760353088,219.60418701171875,-0.014361907728016376,6.310360186034814e-05,0.1759631335735321,155.888427734375,-0.032047100365161896
6,0.0005,0.1690102517604828,204.33242797851562,-0.01249200850725174,6.460266013164073e-05,0.16424614191055298,172.6572723388672,-0.019239457324147224
7,0.0005,0.16368721425533295,203.83660888671875,-0.011158106848597527,6.603533984161913e-05,0.16060303151607513,160.4973602294922,0.01166400033980608
8,0.0005,0.16066251695156097,226.7035369873047,-0.009296420961618423,6.73845352139324e-05,0.1594075858592987,144.12559509277344,-0.013072158209979534
9,0.0005,0.1582273244857788,202.5432891845703,-0.007880794815719128,6.880835280753672e-05,0.15319830179214478,138.5116729736328,-0.013526706956326962
10,0.0005,0.15494386851787567,183.34957885742188,-0.006528536323457956,7.027147512417287e-05,0.1508156657218933,152.46099853515625,-0.008307348936796188
11,0.0005,0.1520833522081375,173.147216796875,-0.005961255636066198,7.178875239333138e-05,0.14802899956703186,134.7646026611328,0.006105506327003241
12,0.0005,0.14942066371440887,186.94140625,-0.0049216425977647305,7.3095245170407e-05,0.1467704176902771,138.45730590820312,0.0006966543733142316
13,0.0005,0.14883898198604584,192.01168823242188,-0.003983508795499802,7.458728941855952e-05,0.14526677131652832,142.20443725585938,-0.018780652433633804
14,0.0005,0.14629621803760529,196.69338989257812,-0.0037415469996631145,7.601643301313743e-05,0.1446877419948578,142.46817016601562,-0.005234114825725555
15,0.0005,0.1448492854833603,202.41574096679688,-0.0033398817759007215,7.742594607407227e-05,0.1428639441728592,134.95513916015625,-0.008693397976458073
16,0.0005,0.14440283179283142,186.1000213623047,-0.0027242512442171574,7.881068449933082e-05,0.1426253765821457,136.32168579101562,-0.01824929378926754
17,0.0005,0.14286835491657257,194.0720977783203,-0.002346747787669301,8.031917968764901e-05,0.14039386808872223,148.69166564941406,-0.00394884217530489
18,0.0005,0.14278796315193176,212.12838745117188,-0.0018512507667765021,8.188932406483218e-05,0.14263363182544708,142.92901611328125,-0.014403281733393669
19,0.0005,0.14116723835468292,201.24876403808594,-0.0017162591684609652,8.327669638674706e-05,0.13973240554332733,130.6220245361328,0.0116245923563838
20,0.0005,0.1405383050441742,177.65708923339844,-0.001502334838733077,8.476313814753667e-05,0.13786427676677704,118.67826080322266,0.00020682963076978922
21,0.0005,0.1402694284915924,187.45574951171875,-0.0009134897263720632,8.629921649117023e-05,0.13849206268787384,138.02764892578125,-0.014343337155878544
22,0.0005,0.13908271491527557,188.2281494140625,-0.0013123082462698221,8.780998905422166e-05,0.13657870888710022,134.9248504638672,0.0003772041236516088
