epoch,lr,output_mean_absolute_error,output_mean_absolute_percentage_error,output_mean_error,val_loss,val_output_mean_absolute_error,val_output_mean_absolute_percentage_error,val_output_mean_error
0,0.0005,0.24879592657089233,72.40045928955078,0.036493051797151566,1.9819473891402595e-05,0.12981262803077698,28.005428314208984,-0.009538994170725346
1,0.0005,0.12147603929042816,27.929414749145508,-0.00019224789866711944,2.0538920580293052e-05,0.1110876053571701,25.06645393371582,-0.000853076868224889
2,0.0005,0.10423776507377625,23.133888244628906,-0.000924323161598295,2.1117391952429898e-05,0.1042468473315239,19.864864349365234,-0.04152041673660278
3,0.0005,0.09812816232442856,21.414358139038086,0.001763252425007522,2.170530569856055e-05,0.0943886786699295,17.68590545654297,0.02708246372640133
4,0.0005,0.09206115454435349,19.492046356201172,0.002613593591377139,2.2248072127695195e-05,0.08627109229564667,16.71401596069336,-0.009115091525018215
5,0.0005,0.09009169042110443,18.98631477355957,0.0035183739382773638,2.280616718053352e-05,0.0838528424501419,15.869231224060059,0.015852337703108788
6,0.0005,0.08683274686336517,18.147441864013672,0.0036326306872069836,2.3378861442324705e-05,0.085471510887146,16.932321548461914,-0.02770104818046093
7,0.0005,0.08536072075366974,17.646940231323242,0.004064757842570543,2.3926128051243722e-05,0.08253105729818344,15.698943138122559,-0.020832935348153114
8,0.0005,0.0830603539943695,17.50136375427246,0.003207811154425144,2.4484308596584015e-05,0.08249531686306,16.92220687866211,-0.002273492282256484
9,0.0005,0.0804443433880806,16.72416877746582,0.003153693862259388,2.511222737666685e-05,0.07920495420694351,14.728833198547363,0.020647263154387474
10,0.0005,0.07932477444410324,16.408855438232422,0.002772367326542735,2.5698156605358236e-05,0.07846415787935257,15.010275840759277,0.011753622442483902
11,0.0005,0.07789365202188492,15.97843074798584,0.002431814791634679,2.6295907446183264e-05,0.07739526778459549,14.82944107055664,0.02017224207520485
12,0.0005,0.07676051557064056,15.84972858428955,0.0023155256640166044,2.6932759283226915e-05,0.07851868122816086,15.321330070495605,-0.02872852236032486
13,0.0005,0.07632473856210709,16.26869010925293,0.0020796931348741055,2.7585118004935794e-05,0.07544632256031036,14.089204788208008,0.020441755652427673
14,0.0005,0.07484882324934006,15.651503562927246,0.0014607158955186605,2.8245682187844068e-05,0.0727643072605133,13.881738662719727,-0.0002650851965881884
15,0.0005,0.07358080893754959,15.345734596252441,0.0012223456287756562,2.8913151254528202e-05,0.07239261269569397,14.67656421661377,-0.01441885530948639
16,0.0005,0.07271381467580795,15.099273681640625,0.0013736856635659933,2.96198959404137e-05,0.07155375182628632,13.754596710205078,-0.005563032813370228
17,0.0005,0.07249719649553299,15.474011421203613,0.0006259024376049638,3.0313605748233385e-05,0.07092113047838211,13.936050415039062,0.012801799923181534
18,0.0005,0.07118184119462967,15.585275650024414,0.0008532217470929027,3.107300653937273e-05,0.07039205729961395,13.443329811096191,-0.005851422902196646
19,0.0005,0.0709163099527359,14.934538841247559,0.00044768847874365747,3.1779407436260954e-05,0.06966487318277359,14.01146411895752,-0.01555443461984396
20,0.0005,0.07022250443696976,14.734418869018555,0.0004849110555369407,3.252601163694635e-05,0.06821523606777191,13.300485610961914,0.0108028594404459
21,0.0005,0.06938347965478897,14.67927074432373,0.0005964554729871452,3.32555609929841e-05,0.06977414339780807,14.00104808807373,-0.006667802110314369
22,0.0005,0.0686330795288086,14.947513580322266,0.00014676913269795477,3.402788206585683e-05,0.0691826194524765,13.28482437133789,-0.010657078586518764
23,0.00025,0.06727472692728043,14.628449440002441,0.00019401840108912438,3.431527511565946e-05,0.06628070026636124,13.541815757751465,-2.1071626179036684e-05
24,0.00025,0.06699836254119873,14.146231651306152,0.0003935505519621074,3.4604378015501425e-05,0.06818149983882904,13.295007705688477,0.013910467736423016
25,0.00025,0.06644236296415329,14.091609954833984,0.0006621326319873333,3.49050787917804e-05,0.0667700245976448,13.041960716247559,-0.011958405375480652
26,0.000125,0.06529216468334198,14.21817684173584,4.6161600039340556e-05,3.50233240169473e-05,0.06448829174041748,12.533320426940918,-0.0005936194793321192
27,0.000125,0.06478670984506607,14.154463768005371,0.00040482403710484505,3.514369382173754e-05,0.06505317240953445,13.107088088989258,-0.00021467219630721956
28,0.000125,0.06505005806684494,14.148636817932129,-8.307803909701761e-06,3.526403088471852e-05,0.06525177508592606,12.58751106262207,-1.2780683391611092e-05
29,6.25e-05,0.06414853781461716,14.256117820739746,0.0006329709431156516,3.5315977584104985e-05,0.0649442970752716,13.053836822509766,-0.0065125045366585255
