epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_absolute_percentage_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_absolute_percentage_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,-1.2412415403141532,0.0005,-1.2412580947937637,0.2371132478389972,86.00508380758352,0.03934987871076451,-1.7353060328298144,-1.7353231995194047,0.12950374613757487,26.06305977150246,0.048216750724586074,-1.7353231995194047,-1.2412580947937637
1,-1.7658884438249693,0.0005,-1.7659059267861363,0.12940035303997946,30.841904760132454,0.0019220761467398542,-1.8239041230192892,-1.8239219067273316,0.115739772717158,25.59320725335015,0.0026316592487058152,-1.8239219067273316,-1.7659059267861363
2,-1.8728303691678307,0.0005,-1.8728485179963026,0.11992697600600202,30.750767110085633,0.001291208215715254,-1.919747417723691,-1.9197658499081929,0.11312320773248319,24.865688129707618,0.004003921333976366,-1.9197658499081929,-1.8728485179963026
3,-1.9258919526307143,0.0005,-1.9259106438251827,0.11233657503285224,29.9187760517515,0.002627119091840019,-1.8482198428224634,-1.8482387684009693,0.11402784784634908,22.203906659726744,0.060243577454929,-1.8482387684009693,-1.9259106438251827
4,-1.9598327002225493,0.0005,-1.9598518745410756,0.10951995952376004,27.990560841125117,0.0029189502792036194,-2.0526019754233182,-2.052621329272235,0.09991222275076089,24.440956786826806,0.008767103164077358,-2.052621329272235,-1.9598518745410756
5,-2.003700618327994,0.0005,-2.0037203040616265,0.10496907352524645,28.078233243002128,0.004591263556743369,-2.02471536177176,-2.024735349195975,0.10241034551075211,20.683960172865127,0.02399852592498064,-2.024735349195975,-2.0037203040616265
6,-2.0338336236578454,0.0005,-2.033853808474589,0.10150509269466022,23.27689339326313,0.004015855728950858,-2.041917050326312,-2.041937505757367,0.09531298693683413,20.444240587728995,0.02983278005073468,-2.041937505757367,-2.033853808474589
7,-2.072888105926359,0.00025,-2.0729086174200804,0.0968194055403101,29.64160759018594,0.005329828187974423,-2.1032231141019753,-2.1032436512134693,0.09463823400437832,23.886796244868524,0.002086924393316386,-2.1032436512134693,-2.0729086174200804
8,-2.08510650896881,0.00025,-2.085127217532655,0.09653199957513664,26.004526066731728,0.005077791190564511,-2.1088366817545006,-2.1088574241708824,0.09456155856174452,20.482794408445006,-0.014291369244111356,-2.1088574241708824,-2.085127217532655
9,-2.1002027212243535,0.00025,-2.100223581399202,0.09464991295192594,25.139667820495234,0.005088031532348683,-2.120596726735433,-2.120617707570394,0.09290882096522385,21.118093790831388,0.01195017401025527,-2.120617707570394,-2.100223581399202
10,-2.1035942712129976,0.00025,-2.103615312015309,0.09492672612592125,27.105993818317902,0.0039678557731521,-2.0930473848625466,-2.093068564379657,0.09379078992814929,20.755873450526483,0.008198461995494587,-2.093068564379657,-2.103615312015309
11,-2.1275730270884825,0.00025,-2.1275942497272764,0.09407277376547789,26.357019240667565,0.005175176851118917,-2.1316436021416276,-2.131664845678541,0.08640583777041347,20.5763897895813,0.005189347425820651,-2.131664845678541,-2.1275942497272764
12,-2.1372349843775766,0.00025,-2.1372563993713194,0.09104091417928496,26.20895001370815,0.005264878178319495,-2.144698997338613,-2.144720455010732,0.09296445996948967,20.4328482415941,-0.0006966159670372252,-2.144720455010732,-2.1372563993713194
13,-2.143194244067519,0.00025,-2.143215832313708,0.09109689716181697,24.634702463904453,0.00442119338171855,-2.1514210369851856,-2.151442733075884,0.08978168052379731,19.229549284334535,0.003978227795515623,-2.151442733075884,-2.143215832313708
14,-2.1547419004459654,0.00025,-2.1547636540859756,0.0903537043542214,30.519148313974995,0.003729238272616243,-2.1111343701680503,-2.1111562759787947,0.09652591551895495,21.718131754133438,0.021316438059632976,-2.1111562759787947,-2.1547636540859756
15,-2.1564945490316734,0.00025,-2.156516502159846,0.09000857067851702,25.775289481358403,0.00452382120178185,-2.142608441688396,-2.142630433594739,0.08974932237631744,22.394602051487677,-0.002607483580639517,-2.142630433594739,-2.156516502159846
16,-2.1738743757863075,0.000125,-2.1738965013206126,0.0878147561458255,24.037976251412598,0.0034719518249812886,-2.1688609101154186,-2.168883083043275,0.08758925287811845,18.143160625740332,0.01860669870102019,-2.168883083043275,-2.1738965013206126
